streetName,total
Rantatie,262
Koulutie,196
Kirkkotie,194
Rinnetie,165
Teollisuustie,163
Kuusitie,159
Myllytie,158
Mäkitie,154
Mäntytie,148
Rantalantie,146
Koivukuja,146
Niemeläntie,143
Peltotie,141
Välitie,141
Vanhatie,138
Niementie,133
Mäkeläntie,130
Koivutie,130
Pajatie,127
Pappilantie,125
Riihitie,124
Heikkiläntie,123
Aholantie,122
Peltolantie,119
Jokelantie,119
Sepäntie,117
Koivulantie,114
Harjutie,112
Asematie,109
Taipaleentie,109
Kuuselantie,107
Rauhalantie,107
Pihlajatie,107
Opintie,104
Ojalantie,104
Hakalantie,103
Hakatie,102
Kangastie,101
Puistotie,99
Koskelantie,95
Oikotie,95
Pajutie,95
Honkatie,95
Mäntyläntie,94
Kalliotie,94
Koivuniementie,93
Koivistontie,93
Seppäläntie,92
Katajatie,92
Anttilantie,92
Niittytie,92
Harjuntie,91
Myllymäentie,90
Metsolantie,89
Rajalantie,89
Alatie,88
Rajatie,87
Kivimäentie,87
Korpelantie,86
Kiviniementie,85
Keskustie,85
Mattilantie,85
Urheilutie,85
Rantakuja,84
Kanervatie,82
Haapatie,82
Korventie,82
Lehtolantie,81
Toivolantie,81
Jokitie,80
Koivumäentie,79
Harjulantie,79
Metsätie,79
Jussilantie,79
Mäntykuja,78
Leppätie,78
Mikkolantie,78
Kiveläntie,77
Järvenpääntie,77
Yrittäjäntie,74
Mäkikuja,74
Haapaniementie,74
Peräläntie,73
Saarentie,73
Männistöntie,72
Purotie,72
Palomäentie,71
Mäntyniementie,71
Rinnekuja,71
Koulukuja,70
Uutelantie,70
Koulukatu,70
Koivurannantie,70
Kauppatie,70
Joensuuntie,70
Salmelantie,69
Kiertotie,69
Sahantie,69
Lehtimäentie,68
Saarelantie,68
Järveläntie,68
Mäntymäentie,68
Kotirannantie,67
Lahdentie,67
Ratatie,66
Purolantie,66
Kivirannantie,66
Rantapolku,66
Kuusikuja,66
Lepolantie,65
Yhdystie,65
Paavolantie,65
Onnelantie,65
Huvilatie,64
Sahatie,64
Kivitie,64
Takalantie,64
Kankaantie,63
Syrjäläntie,63
Kalliokuja,63
Kartanontie,63
Ouluntie,62
Koskitie,62
Mustikkatie,62
Jokirannantie,62
Peltokuja,61
Kulmalantie,61
Poikkitie,61
Lähdetie,61
Lehtotie,61
Salmentie,60
Kantolantie,60
Talvitie,60
Kumpulantie,60
Alhontie,60
Leppäkuja,60
Laurilantie,60
Kirkkokatu,59
Päivärinteentie,59
Kuusistontie,59
Myllykuja,59
Järvitie,58
Museotie,58
Peltoniementie,58
Välikuja,58
Torikatu,57
Kallioniementie,57
Kotikuja,57
Mäenpääntie,56
Antintie,56
Turuntie,56
Kokkolantie,56
Kaivotie,56
Vuorelantie,56
Kumputie,55
Honkalantie,55
Jokiniementie,55
Notkotie,55
Petäjätie,55
Lammintie,55
Honkaniementie,55
Hietalantie,55
Rannantie,55
Kotipolku,55
Koskentie,55
Tapiolantie,55
Haapalantie,55
Laurintie,54
Eskolantie,54
Käpytie,54
Ketolantie,54
Metsäpirtintie,54
Jyväskyläntie,54
Helsingintie,54
Puolukkatie,54
Haavistontie,54
Ahontie,54
Kalliomäentie,53
Riihikuja,53
Katajakuja,53
Laiduntie,53
Tehtaantie,53
Lampitie,53
Matintie,52
Suotie,52
Kallentie,52
Haapakuja,52
Lahtelantie,51
Valtatie,51
Katajamäentie,51
Saarijärventie,51
Penttiläntie,51
Pajulantie,51
Arolantie,51
Väinöläntie,51
Torpantie,51
Kalliontie,51
Kauppakatu,51
Mikontie,50
Salontie,50
Tyyneläntie,50
Lukkarintie,50
Vainiontie,50
Puutarhatie,50
Mestarintie,50
Lepistöntie,49
Kotitie,49
Suvitie,49
Kylätie,49
Kulmatie,49
Tuomitie,48
Kauppilantie,48
Kajaanintie,48
Hallitie,48
Kaarnatie,48
Marttilantie,48
Pohjolantie,48
Ahotie,48
Ratakatu,48
Kaaritie,48
Laaksotie,47
Kaartotie,47
Linjatie,47
Jukolantie,47
Mustalahdentie,47
Havutie,47
Lähteentie,47
Keskuskatu,47
Savelantie,47
Hietaniementie,47
Käpykuja,47
Vaasantie,47
Kivistöntie,46
Jussintie,46
Jaakkolantie,46
Tammitie,46
Välimäentie,46
Heikintie,46
Lukkarinkuja,46
Pekkalantie,46
Tampereentie,46
Ylätie,45
Kaunistontie,45
Ollilantie,45
Sepänkuja,45
Korpitie,45
Lehtokuja,45
Asemantie,45
Valkamantie,45
Jäkälätie,44
Kivijärventie,44
Rajamäentie,44
Kauppakuja,44
Niittykuja,44
Tervahaudantie,44
Päivöläntie,44
Pitkäniementie,44
Puusepäntie,44
Niittypolku,44
Erkkiläntie,44
Porintie,44
Myllärintie,43
Toivontie,43
Männiköntie,43
Satamatie,43
Nurmelantie,43
Kanervakuja,43
Niinimäentie,43
Lehtoniementie,43
Asemakatu,43
Metsäläntie,43
Väinöntie,42
Ruukintie,42
Murrontie,42
Pistotie,42
Autiontie,42
Kaskitie,42
Kotimäentie,42
Koivikontie,42
Sydänmaantie,42
Moisiontie,42
Pellonpääntie,41
Metsärannantie,41
Suutarintie,41
Pitkäjärventie,41
Palokankaantie,41
Metsäpolku,41
Hannulantie,41
Sepänkatu,41
Riihimäentie,41
Nikkarintie,41
Kallenkuja,41
Pihlajamäentie,41
Tervaniementie,41
Kujalantie,41
Hevoshaantie,41
Vesalantie,41
Vuoritie,41
Keskitie,41
Särkijärventie,40
Eerontie,40
Siltalantie,40
Paloniementie,40
Kalliolantie,40
Puistokuja,40
Kuopiontie,40
Rinnepolku,40
Rantakyläntie,40
Puistolantie,40
Lehmustie,40
Kurjentie,39
Syvälahdentie,39
Hakakuja,39
Kehätie,39
Tikantie,39
Pajukuja,39
Kelotie,39
Rinteentie,39
Jokivarrentie,39
Pohjantie,39
Luhtatie,39
Tuomelantie,39
Hautalantie,39
Kiviharjuntie,38
Urheilukatu,38
Karhulantie,38
Tuohitie,38
Länsirannantie,38
Lapintie,38
Teollisuuskatu,38
Tapiontie,38
Hämeentie,38
Kesärannantie,38
Mansikkatie,38
Mökkitie,38
Koivikkotie,38
Koivulehdontie,38
Karjalantie,38
Kankaanpääntie,38
Uimarannantie,38
Miilutie,38
Pihlajakuja,37
Puistokatu,37
Pietiläntie,37
Antinkuja,37
Matinkuja,37
Välikatu,37
Tammikuja,37
Viertotie,37
Pirttiniementie,37
Oksatie,37
Rantakatu,37
Hirvijärventie,37
Simolantie,37
Ainontie,37
Sarkatie,36
Takatie,36
Savikontie,36
Holmantie,36
Sivutie,36
Ilvestie,36
Myllykyläntie,36
Sammontie,36
Sammaltie,36
Sipiläntie,36
Lintulantie,36
Pajakuja,36
Kalliorannantie,36
Karpalotie,36
Kenttätie,36
Ojatie,36
Marjamäentie,36
Puolukkapolku,35
Suvirannantie,35
Mustikkapolku,35
Pihatie,35
Saratie,35
Tuomikuja,35
Siltatie,35
Umpikuja,35
Rantamäentie,35
Palotie,35
Sairaalantie,35
Jaakontie,35
Ahjotie,35
Suorannantie,35
Marjatie,35
Villentie,35
